glucose;0.11105617929604776
ast;0.09748340548270852
hr;0.09218506081405618
bilirubin;0.08598624273786613
creatinine;0.08255544184254347
calcium;0.05788888439538826
liver_disease;0.02473154009581742
deficiency_anemias;0.009541707786018731
peripheral_vascular;0.004111114853479902
metastatic_cancer;0.0036893673143788795
gender;-0.008141277288640596
chronic_pulmonary_disease;-0.012980298399659185
sodium;-0.04847542438073491
age;-0.04876545109378474
chloride;-0.0543666539934476
bun;-0.07250363610528499
bicarbonate;-0.18553831412014282
